Experience_Level,Green_Skill_Requirement,Salary_USD,Carbon_Offset_Tons,Remote_Allowed,Training_Hours,Salary_per_Offset_Ton,Training_Intensity,Experience_Level_Encoded,Green_Skill_Requirement_Encoded,Remote_Allowed_Encoded,Job_Title_Carbon Accountant,Job_Title_Carbon Policy Analyst,Job_Title_Climate Policy Officer,Job_Title_Conservation Scientist,Job_Title_ESG Analyst,Job_Title_Eco-designer,Job_Title_Energy Auditor,Job_Title_Environmental Engineer,Job_Title_Geothermal Specialist,Job_Title_Green Architect,Job_Title_Hydrologist,Job_Title_Organic Agriculturist,Job_Title_Recycling Specialist,Job_Title_Renewable Consultant,Job_Title_Smart Grid Engineer,Job_Title_Solar Technician,Job_Title_Sustainability Manager,Job_Title_Waste Management Officer,Job_Title_Wind Energy Analyst
Entry,High,-1.3182701614560794,-0.9938755758867447,No,-0.43881205515497806,0.0595800583157739,0.8898221963753746,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Mid,High,-0.00794138651479566,0.4392992357367743,Yes,0.3112940220330184,-0.5983610707182333,0.556636734821839,1,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Senior,Medium,1.1832665907045534,-0.4953799892350859,Yes,-0.8138650937489763,0.5489237730348169,-1.783939395718837,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Mid,High,0.38912793922498734,1.0624187190513479,Yes,1.0614000992210149,-0.7080179255572345,1.2731107348542534,1,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entry,Medium,-1.0800285660122098,-1.1808114208811167,No,-0.8138650937489763,0.7887981429951321,-0.4355337652230491,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Entry,Medium,-1.5962186894739276,-0.4953799892350859,No,-1.0388969169053752,-0.6600430515651715,-0.3508969985525535,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Mid,Medium,0.27000714150305244,-0.4953799892350859,Yes,-0.0637590165609798,0.15169181638053497,-0.2975390369559367,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senior,High,0.7861972649647704,1.3739784607086345,Yes,0.6863470606270167,-0.7118559154765995,0.35037906814584036,2,2,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mid,High,-0.28588991453264373,-0.8069397308923727,Yes,-0.2512855358579789,0.35894327202624726,-0.12163366905500185,1,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mid,Medium,-0.5241315099765136,0.12773949407948756,No,-0.43881205515497806,-0.6082301876537435,-0.234017654102821,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senior,Low,0.5082487369469222,-1.243123369212574,Yes,-1.1889181323429745,2.794147875863367,-2.0826195306036897,2,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senior,High,1.3818012535744448,1.997097944023208,No,1.8115061764090115,-0.746397824750885,1.2269741515188333,2,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mid,Medium,0.11117941120713924,-0.4953799892350859,Yes,-0.2512855358579789,0.08260799783196422,-0.4664481686335389,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Entry,Medium,-1.4770978917519928,-0.6200038858980006,No,-0.8138650937489763,-0.5161184295889824,0.13123029730259242,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Senior,High,0.9847319278346618,0.750858977394061,No,1.4364531378150132,-0.4873335051937446,1.1472836893940157,2,2,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Entry,High,-1.7153394871958625,-0.1838202475777992,No,-0.8138650937489763,-0.8569319344285982,0.6008348062524099,0,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Mid,Low,-0.20647604938468717,-1.3054353175440314,Yes,-1.0013916130459755,2.5104107639674513,-1.5123854840217685,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senior,High,1.0641457929826184,1.2493545640457198,No,1.0614000992210149,-0.6312581271699337,0.6008348062524099,2,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mid,Medium,-0.04764831908877396,-0.37075609257217124,Yes,-0.6263385744519772,-0.11836311067296894,-0.9645135569136482,1,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Senior,High,1.5803359164443362,1.6855382023659213,Yes,2.1865592150030095,-0.6521926176391976,1.472420774863271,2,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
